,index,cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),green_time(4),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen,gt1,gt2,gt3,gt4
412,979,55,3240,648,648,1620,324,8,19.75,19.75,19.75,19.75,41.27861136,1.700549056,25.40161749,10.69291701,0.152974492,26.39933816,27.63517296,#REF!,#REF!,#REF!,#REF!
339,957,50,3240,810,810,810,810,8,18.5,18.5,18.5,18.5,36.29337575,1.566811874,20.96853662,12.12051458,0.17339792,14.46007938,28.13636071,#REF!,#REF!,#REF!,#REF!
513,963,50,3240,324,324,1296,1296,8,18.5,18.5,18.5,18.5,53.48312841,2.262828115,32.90167108,11.384728,0.162871645,27.20367813,32.44676322,#REF!,#REF!,#REF!,#REF!
248,1241,60,3240,324,324,324,2268,12,24,24,24,24,30.60195463,1.059638632,20.35000304,7.559741308,0.108150806,22.81685358,17.45294524,#REF!,#REF!,#REF!,#REF!
421,1226,55,3240,648,972,648,972,12,20.6,24.9,20.6,24.9,42.06590422,1.697163557,26.72529216,12.96561186,0.185488009,21.25480638,33.45313779,#REF!,#REF!,#REF!,#REF!
435,1231,55,3240,648,648,1620,324,12,22.75,22.75,22.75,22.75,43.31128725,1.742075661,27.34227747,10.89664911,0.155889115,27.71501591,28.22323246,#REF!,#REF!,#REF!,#REF!
347,1212,50,3240,324,1296,324,1296,12,15.8,27.2,15.8,27.2,36.54619812,1.529153673,22.04996767,11.27780944,0.161342052,15.7961788,28.95547491,#REF!,#REF!,#REF!,#REF!
451,1209,50,3240,810,810,810,810,12,21.5,21.5,21.5,21.5,45.11045307,1.85733742,27.89396625,13.4459398,0.192359654,21.94870368,36.06042293,#REF!,#REF!,#REF!,#REF!
501,1215,50,3240,324,324,1296,1296,12,21.5,21.5,21.5,21.5,52.11584665,2.125422554,32.39461484,11.5328724,0.164991022,21.47067066,32.10282271,#REF!,#REF!,#REF!,#REF!
300,1493,60,3240,324,324,324,2268,16,27,27,27,27,33.83008296,1.184792004,22.78677984,7.520990235,0.107596427,27.31087892,17.93989844,#REF!,#REF!,#REF!,#REF!
383,1476,55,3240,324,1296,324,1296,16,19.9,31.6,19.9,31.6,39.21562555,1.484113359,24.74343506,11.76402714,0.168297956,18.56663997,28.56149748,#REF!,#REF!,#REF!,#REF!
462,1478,55,3240,648,972,648,972,16,23.8,27.7,23.8,27.7,46.31314126,1.770784116,29.72475531,13.96179245,0.19973952,20.54011351,36.77922284,#REF!,#REF!,#REF!,#REF!
465,1471,50,3240,648,648,1620,324,16,24.5,24.5,24.5,24.5,46.64752593,1.933761282,28.62012266,11.07893341,0.158496901,24.31789365,27.98085351,#REF!,#REF!,#REF!,#REF!
506,1462,50,3240,810,810,810,810,16,24.5,24.5,24.5,24.5,52.57432733,2.075010822,32.66161575,14.9586968,0.214001385,21.08378998,43.01768187,#REF!,#REF!,#REF!,#REF!
540,1467,50,3240,324,324,1296,1296,16,24.5,24.5,24.5,24.5,58.5347621,2.3462767,37.54034774,11.75380331,0.168151693,26.84183937,33.73715866,#REF!,#REF!,#REF!,#REF!
543,1755,65,3240,324,324,1296,1296,20,31.25,31.25,31.25,31.25,59.75720445,1.989251956,41.19266169,12.35949553,0.176816817,29.00870213,33.84314208,#REF!,#REF!,#REF!,#REF!
467,1747,60,3240,648,648,1620,324,20,30,30,30,30,46.77023058,1.765162978,30.23890062,11.23928404,0.160790902,27.06171699,28.74667113,#REF!,#REF!,#REF!,#REF!
482,1729,55,3240,648,972,648,972,20,28.75,28.75,28.75,28.75,49.21550997,1.85247752,32.25486715,13.80680404,0.197522232,23.68595152,38.57742148,#REF!,#REF!,#REF!,#REF!
539,1726,55,3240,810,810,810,810,20,28.75,28.75,28.75,28.75,58.40084742,2.277961303,37.94624233,16.18199334,0.231502051,23.45333018,45.67393173,#REF!,#REF!,#REF!,#REF!
277,1721,50,3240,324,324,324,2268,20,27.5,27.5,27.5,27.5,32.52986416,1.256925095,20.934035,7.30487389,0.104504634,24.64643631,18.05858843,#REF!,#REF!,#REF!,#REF!
430,1715,50,3240,324,1296,324,1296,20,27.5,27.5,27.5,27.5,42.94215189,1.545587576,28.31987208,10.71471644,0.153286358,32.07311679,31.1259873,#REF!,#REF!,#REF!,#REF!
498,2011,65,3240,648,648,1620,324,24,34.25,34.25,34.25,34.25,51.33820379,1.862144731,34.49884216,12.13431899,0.173595408,36.74658751,31.28587327,#REF!,#REF!,#REF!,#REF!
438,1991,60,3240,324,1296,324,1296,24,33,33,33,33,43.87568649,1.36963282,30.85439263,10.98865254,0.15720533,36.02529205,31.53332253,#REF!,#REF!,#REF!,#REF!
522,1981,55,3240,648,972,648,972,24,31.75,31.75,31.75,31.75,55.43739997,1.937128925,37.24621426,14.12506003,0.202075251,27.38404031,40.7075178,#REF!,#REF!,#REF!,#REF!
556,1983,55,3240,324,324,1296,1296,24,31.75,31.75,31.75,31.75,62.54056479,2.333492958,40.33418845,11.32789354,0.162058563,26.9429948,33.31098271,#REF!,#REF!,#REF!,#REF!
574,1977,55,3240,810,810,810,810,24,31.75,31.75,31.75,31.75,66.61976978,2.547999774,43.22197629,17.15922469,0.24548247,27.97114721,50.18510895,#REF!,#REF!,#REF!,#REF!
329,1973,50,3240,324,324,324,2268,24,30.5,30.5,30.5,30.5,35.67851976,1.267722218,23.60507997,6.984162179,0.099916483,30.0106925,18.42843965,#REF!,#REF!,#REF!,#REF!
585,2278,75,3240,810,810,810,810,28,39.75,39.75,39.75,39.75,78.83718074,2.431914798,56.97384592,18.74638113,0.268188571,36.05146437,57.53784753,#REF!,#REF!,#REF!,#REF!
533,2275,70,3240,648,648,1620,324,28,38.5,38.5,38.5,38.5,57.16081739,1.893118648,39.76198652,12.36344137,0.176873267,32.20229885,34.45047319,#REF!,#REF!,#REF!,#REF!
552,2269,70,3240,648,972,648,972,28,38.5,38.5,38.5,38.5,61.82271899,1.805938061,44.8735165,13.41149044,0.191866816,33.58569434,42.19306147,#REF!,#REF!,#REF!,#REF!
360,2249,60,3240,324,324,324,2268,28,36,36,36,36,37.53840956,1.23374385,26.12917573,7.870978435,0.112603411,30.38130638,19.30901757,#REF!,#REF!,#REF!,#REF!
461,2243,60,3240,324,1296,324,1296,28,36,36,36,36,46.30974011,1.481273818,32.32827072,11.56628216,0.165468986,35.30370211,31.2872042,#REF!,#REF!,#REF!,#REF!
563,2235,55,3240,324,324,1296,1296,28,34.75,34.75,34.75,34.75,64.43414522,2.400556297,42.93379789,11.97099484,0.171258868,32.25548616,33.87627841,#REF!,#REF!,#REF!,#REF!
333,2498,60,3420,684,1026,684,1026,4,15.2,20.8,15.2,20.8,35.98229186,1.402332985,22.61282781,11.88188363,0.169984029,17.8216382,29.09515956,#REF!,#REF!,#REF!,#REF!
238,2484,55,3420,342,1368,342,1368,4,9.1,24.4,9.1,24.4,30.16966121,1.193731473,17.67698933,11.0270092,0.157754066,14.68615806,24.41648126,#REF!,#REF!,#REF!,#REF!
507,2487,55,3420,342,342,1368,1368,4,16.75,16.75,16.75,16.75,52.63649805,2.070388076,33.08870205,11.75884159,0.168223771,23.34047637,32.29938641,#REF!,#REF!,#REF!,#REF!
230,2477,50,3420,342,342,342,2394,4,15.5,15.5,15.5,15.5,29.39400638,1.105884614,19.01724998,7.183590755,0.102769539,23.31081865,17.28202614,#REF!,#REF!,#REF!,#REF!
385,2479,50,3420,684,684,1710,342,4,15.5,15.5,15.5,15.5,39.33260938,1.765473693,22.65610981,10.66084221,0.152515625,21.23225456,25.97205118,#REF!,#REF!,#REF!,#REF!
394,2470,50,3420,855,855,855,855,4,15.5,15.5,15.5,15.5,39.94037773,1.740353799,23.27987872,13.15071477,0.18813612,18.27197134,34.12840552,#REF!,#REF!,#REF!,#REF!
263,2736,55,3420,342,1368,342,1368,8,12.7,26.8,12.7,26.8,31.27928888,1.24007569,18.49817334,11.42452435,0.163440978,15.58340172,25.53631264,#REF!,#REF!,#REF!,#REF!
236,2729,50,3420,342,342,342,2394,8,18.5,18.5,18.5,18.5,30.01780344,1.125562077,19.739101,7.002875701,0.100184202,24.03703863,17.59059415,#REF!,#REF!,#REF!,#REF!
374,2726,50,3420,684,1026,684,1026,8,16.4,20.6,16.4,20.6,38.6279565,1.656590097,22.95220457,13.14149872,0.188004273,14.86483172,32.96346193,#REF!,#REF!,#REF!,#REF!
410,2731,50,3420,684,684,1710,342,8,18.5,18.5,18.5,18.5,41.2370015,1.815356486,24.14914945,10.5706801,0.151225753,22.0531603,25.93080997,#REF!,#REF!,#REF!,#REF!
487,2721,50,3420,855,855,855,855,8,18.5,18.5,18.5,18.5,49.9694851,2.085216812,30.73568432,15.62341005,0.223510873,18.74826022,41.38135961,#REF!,#REF!,#REF!,#REF!
490,2727,50,3420,342,342,1368,1368,8,18.5,18.5,18.5,18.5,50.66326357,2.090656068,31.27900415,11.29224658,0.161548592,20.16678418,32.41151714,#REF!,#REF!,#REF!,#REF!
450,2995,55,3420,684,684,1710,342,12,22.75,22.75,22.75,22.75,45.10467007,1.799638091,28.51476642,12.10177588,0.173129841,26.77222065,30.90156129,#REF!,#REF!,#REF!,#REF!
504,2985,55,3420,855,855,855,855,12,22.75,22.75,22.75,22.75,52.46582689,2.090013383,33.6492851,15.74969912,0.225317584,23.93828813,43.72606416,#REF!,#REF!,#REF!,#REF!
232,2981,50,3420,342,342,342,2394,12,21.5,21.5,21.5,21.5,29.46499592,1.090156972,19.04111146,6.927833573,0.099110638,22.93282678,17.62897492,#REF!,#REF!,#REF!,#REF!
366,2976,50,3420,342,1368,342,1368,12,15.8,27.2,15.8,27.2,37.95975303,1.503757975,23.24106718,11.24187822,0.160828015,15.7464848,28.9831076,#REF!,#REF!,#REF!,#REF!
472,2978,50,3420,684,1026,684,1026,12,19.6,23.4,19.6,23.4,47.6321984,1.880095304,29.70665312,14.07347995,0.201337338,17.40649809,39.44294151,#REF!,#REF!,#REF!,#REF!
511,2979,50,3420,342,342,1368,1368,12,21.5,21.5,21.5,21.5,53.16852554,2.160495783,32.39833237,11.78484278,0.168595748,21.31438305,33.15621367,#REF!,#REF!,#REF!,#REF!
536,236,60,3420,342,342,1368,1368,16,27,27,27,27,57.73071372,2.105929209,38.15351293,12.13783743,0.173645743,29.65066545,34.14327549,#REF!,#REF!,#REF!,#REF!
454,228,55,3420,684,684,1710,342,16,25.75,25.75,25.75,25.75,45.41949125,1.854336517,28.00866136,11.68557876,0.167175662,26.71303791,30.66464242,#REF!,#REF!,#REF!,#REF!
549,218,55,3420,855,855,855,855,16,25.75,25.75,25.75,25.75,60.5625827,2.372559542,38.75408621,17.45120762,0.249659623,24.46594729,50.2210778,#REF!,#REF!,#REF!,#REF!
250,214,50,3420,342,342,342,2394,16,24.5,24.5,24.5,24.5,30.67202016,1.093000468,20.40486365,6.75517909,0.096640616,25.81629834,17.46123524,#REF!,#REF!,#REF!,#REF!
387,208,50,3420,342,1368,342,1368,16,24.5,24.5,24.5,24.5,39.47067526,1.470943891,25.89752256,11.02206157,0.157683284,29.43475074,30.56168139,#REF!,#REF!,#REF!,#REF!
478,210,50,3420,684,1026,684,1026,16,24.5,24.5,24.5,24.5,48.42906737,1.811769873,31.47470205,13.66646788,0.195514562,27.78854082,39.25983875,#REF!,#REF!,#REF!,#REF!
418,497,65,3420,342,1368,342,1368,20,24.5,38,24.5,38,41.89977863,1.447709967,28.13117135,11.9904029,0.171536522,23.83993145,31.19745219,#REF!,#REF!,#REF!,#REF!
503,492,60,3420,684,684,1710,342,20,30,30,30,30,52.30330185,1.985429704,33.94924362,12.86539674,0.184054317,27.47325693,32.55381097,#REF!,#REF!,#REF!,#REF!
259,466,50,3420,342,342,342,2394,20,27.5,27.5,27.5,27.5,31.10254069,1.131870659,20.52402579,7.209905635,0.103146003,23.58683271,17.74710008,#REF!,#REF!,#REF!,#REF!
500,462,50,3420,684,1026,684,1026,20,27.5,27.5,27.5,27.5,51.77533128,1.934658687,33.58489642,14.11159181,0.201882572,26.09475243,41.29566229,#REF!,#REF!,#REF!,#REF!
544,464,50,3420,342,342,1368,1368,20,27.5,27.5,27.5,27.5,59.88114362,2.348057723,38.02420447,11.71223104,0.167556953,23.87665838,33.66356896,#REF!,#REF!,#REF!,#REF!
577,458,50,3420,855,855,855,855,20,27.5,27.5,27.5,27.5,67.88140005,2.594598524,44.03079652,16.66278758,0.238380366,28.0733955,52.96813897,#REF!,#REF!,#REF!,#REF!
583,46,85,3420,855,855,855,855,24,39.25,39.25,39.25,39.25,78.11010505,2.228584326,57.69742614,18.05163231,0.258249389,44.0656869,53.74011264,#REF!,#REF!,#REF!,#REF!
566,16,70,3420,342,342,1368,1368,24,35.5,35.5,35.5,35.5,64.75525319,1.979437526,46.33001174,12.04875322,0.172371291,29.76344654,35.52976374,#REF!,#REF!,#REF!,#REF!
322,742,60,3420,342,342,342,2394,24,33,33,33,33,35.21827636,1.159697926,24.34575929,7.670187796,0.10973087,31.08970335,19.3134205,#REF!,#REF!,#REF!,#REF!
457,736,60,3420,342,1368,342,1368,24,33,33,33,33,45.79202296,1.434254914,31.90692629,11.72661643,0.167762753,33.46340812,32.07263952,#REF!,#REF!,#REF!,#REF!
526,732,55,3420,684,684,1710,342,24,31.75,31.75,31.75,31.75,55.95788239,2.163538131,36.01221119,13.52641662,0.193510967,32.73506316,37.01728615,#REF!,#REF!,#REF!,#REF!
565,726,55,3420,684,1026,684,1026,24,31.75,31.75,31.75,31.75,64.52354678,2.258045176,44.19673474,15.25375559,0.218222541,26.77933277,46.705262,#REF!,#REF!,#REF!,#REF!
586,311,90,3420,855,855,855,855,28,43.5,43.5,43.5,43.5,82.29203186,2.224307432,61.63170037,17.64434629,0.252422694,46.21211219,58.17234695,#REF!,#REF!,#REF!,#REF!
551,260,65,3420,684,684,1710,342,28,37.25,37.25,37.25,37.25,61.73791852,2.05824271,42.46435216,13.74372882,0.196619869,40.82181916,40.68878446,#REF!,#REF!,#REF!,#REF!
358,246,60,3420,342,342,342,2394,28,36,36,36,36,37.3047228,1.197466951,26.02730341,7.507348524,0.107401266,34.06665107,20.00002783,#REF!,#REF!,#REF!,#REF!
476,240,60,3420,342,1368,342,1368,28,36,36,36,36,48.01891247,1.45191869,33.70876802,11.66412655,0.166868763,34.9393512,33.02107641,#REF!,#REF!,#REF!,#REF!
567,244,60,3420,342,342,1368,1368,28,36,36,36,36,64.86871779,2.201448012,43.47599684,11.97205645,0.171274055,27.44089931,35.20491546,#REF!,#REF!,#REF!,#REF!
579,230,55,3420,684,1026,684,1026,28,34.75,34.75,34.75,34.75,70.28942581,2.300904336,49.00321701,15.98107967,0.228627749,29.19852724,49.30534068,#REF!,#REF!,#REF!,#REF!
292,481,55,3600,360,1440,360,1440,4,9.1,24.4,9.1,24.4,33.4275322,1.331649013,20.14040089,12.11703713,0.173348171,17.03520675,27.84945089,#REF!,#REF!,#REF!,#REF!
453,478,55,3600,900,900,900,900,4,16.75,16.75,16.75,16.75,45.25942713,1.864077623,27.8478402,15.06669821,0.215546469,19.41617875,40.37748131,#REF!,#REF!,#REF!,#REF!
479,484,55,3600,360,360,1440,1440,4,16.75,16.75,16.75,16.75,48.73412988,1.982836782,30.05087375,11.84316479,0.169430111,22.51173867,32.10522247,#REF!,#REF!,#REF!,#REF!
224,474,50,3600,360,360,360,2520,4,15.5,15.5,15.5,15.5,28.44761968,1.163605516,17.55865984,7.007734225,0.100253709,20.28586282,16.83342225,#REF!,#REF!,#REF!,#REF!
395,476,50,3600,720,720,1800,360,4,15.5,15.5,15.5,15.5,40.05348159,1.779335324,23.19855195,10.70300403,0.153118799,24.01041447,27.22017425,#REF!,#REF!,#REF!,#REF!
425,470,50,3600,720,1080,720,1080,4,15.5,15.5,15.5,15.5,42.54508766,1.718432965,26.46174164,13.88044641,0.198575771,24.40955283,37.46032832,#REF!,#REF!,#REF!,#REF!
337,733,55,3600,360,1440,360,1440,8,12.7,26.8,12.7,26.8,36.14629355,1.42032998,21.96715377,12.61882055,0.18052676,17.71313302,29.30114899,#REF!,#REF!,#REF!,#REF!
413,740,55,3600,720,720,1800,360,8,19.75,19.75,19.75,19.75,41.29864157,1.719333445,24.79786266,11.64745447,0.16663025,24.97330896,30.04305791,#REF!,#REF!,#REF!,#REF!
493,736,55,3600,360,360,1440,1440,8,19.75,19.75,19.75,19.75,50.7472408,2.089175114,31.34115683,11.53153377,0.164971871,22.84251436,34.05912774,#REF!,#REF!,#REF!,#REF!
229,726,50,3600,360,360,360,2520,8,18.5,18.5,18.5,18.5,29.1597343,1.163795182,18.42741045,6.920490796,0.099005591,24.38637937,17.49110597,#REF!,#REF!,#REF!,#REF!
477,722,50,3600,720,1080,720,1080,8,18.5,18.5,18.5,18.5,48.30752412,1.914724495,30.5975439,14.49087093,0.207308597,24.94059963,40.64011311,#REF!,#REF!,#REF!,#REF!
494,718,50,3600,900,900,900,900,8,18.5,18.5,18.5,18.5,51.1300543,2.097819929,31.49487147,16.58893583,0.237323832,18.91734158,46.59170042,#REF!,#REF!,#REF!,#REF!
231,1002,60,3600,360,360,360,2520,12,24,24,24,24,29.42474186,0.981150925,19.86997221,7.295292952,0.104367567,24.29354718,18.11894198,#REF!,#REF!,#REF!,#REF!
559,982,55,3600,900,900,900,900,12,22.75,22.75,22.75,22.75,63.13680665,2.330027639,41.48012361,17.69599935,0.25316165,23.64051601,52.13393395,#REF!,#REF!,#REF!,#REF!
393,972,50,3600,360,1440,360,1440,12,21.5,21.5,21.5,21.5,39.8461752,1.525943919,25.5390837,11.1844354,0.160006229,29.2623168,31.23775522,#REF!,#REF!,#REF!,#REF!
471,980,50,3600,720,720,1800,360,12,21.5,21.5,21.5,21.5,47.62060052,2.014207771,29.11925786,12.06088406,0.172544836,25.44748542,31.68490468,#REF!,#REF!,#REF!,#REF!
480,974,50,3600,720,1080,720,1080,12,21.5,21.5,21.5,21.5,49.08194309,1.946687589,30.53339129,15.20420307,0.217513635,23.60270795,41.25804925,#REF!,#REF!,#REF!,#REF!
497,976,50,3600,360,360,1440,1440,12,21.5,21.5,21.5,21.5,51.33584446,2.181240803,30.70749882,11.90729536,0.170347573,19.36451841,32.6699563,#REF!,#REF!,#REF!,#REF!
575,1258,65,3600,900,900,900,900,16,28.25,28.25,28.25,28.25,66.81023076,2.368103033,45.6040057,17.96953128,0.257074839,36.02475643,52.88949464,#REF!,#REF!,#REF!,#REF!
408,1248,60,3600,360,1440,360,1440,16,27,27,27,27,41.13116585,1.363318522,28.23356169,11.47166805,0.164115423,30.58712843,31.03299065,#REF!,#REF!,#REF!,#REF!
475,1244,55,3600,720,720,1800,360,16,25.75,25.75,25.75,25.75,47.98274121,1.98404328,29.55012346,12.22785004,0.174933477,29.80541792,33.30737983,#REF!,#REF!,#REF!,#REF!
523,1240,55,3600,360,360,1440,1440,16,25.75,25.75,25.75,25.75,55.44325892,2.162649231,35.69510277,11.92366973,0.170581827,25.24071886,34.12087099,#REF!,#REF!,#REF!,#REF!
266,1230,50,3600,360,360,360,2520,16,24.5,24.5,24.5,24.5,31.4008578,1.214330449,20.12959991,7.404908592,0.105935745,26.18815023,17.97452695,#REF!,#REF!,#REF!,#REF!
492,1226,50,3600,720,1080,720,1080,16,24.5,24.5,24.5,24.5,50.72890792,1.959606116,32.50087381,14.48497614,0.207224265,26.23904836,41.24974859,#REF!,#REF!,#REF!,#REF!
546,1514,65,3600,720,1080,720,1080,20,31.25,31.25,31.25,31.25,60.19943853,1.989622205,41.61346801,16.19654,0.231710157,22.92623232,47.3109816,#REF!,#REF!,#REF!,#REF!
581,1510,65,3600,900,900,900,900,20,31.25,31.25,31.25,31.25,72.06171893,2.4218084,50.14514283,18.30952997,0.261938912,35.63600906,55.20452764,#REF!,#REF!,#REF!,#REF!
428,1488,55,3600,360,1440,360,1440,20,28.75,28.75,28.75,28.75,42.79876534,1.487907621,28.63170052,10.83895504,0.155063734,28.34737046,30.69153792,#REF!,#REF!,#REF!,#REF!
514,1496,55,3600,720,720,1800,360,20,28.75,28.75,28.75,28.75,53.61574329,2.091802254,33.80929271,13.07162286,0.187004619,32.67987346,36.73845285,#REF!,#REF!,#REF!,#REF!
528,1492,55,3600,360,360,1440,1440,20,28.75,28.75,28.75,28.75,56.33585315,2.206018637,36.31005149,11.98477215,0.171455968,27.56968568,34.33967668,#REF!,#REF!,#REF!,#REF!
289,1482,50,3600,360,360,360,2520,20,27.5,27.5,27.5,27.5,33.18805645,1.244187137,21.85229954,7.025188704,0.100503415,28.13529598,17.83554143,#REF!,#REF!,#REF!,#REF!
584,1763,65,3600,900,900,900,900,24,34.25,34.25,34.25,34.25,78.83504261,2.629032058,55.23075282,19.29932241,0.276099033,31.36231884,60.48477125,#REF!,#REF!,#REF!,#REF!
283,1758,60,3600,360,360,360,2520,24,33,33,33,33,32.93130702,1.076064056,22.7102927,7.436608132,0.106389244,26.56941482,19.00399064,#REF!,#REF!,#REF!,#REF!
448,1752,60,3600,360,1440,360,1440,24,33,33,33,33,44.99035419,1.381775376,31.34736646,11.56901225,0.165508044,35.67349161,32.48265948,#REF!,#REF!,#REF!,#REF!
548,1760,60,3600,720,720,1800,360,24,33,33,33,33,60.56174988,2.268646563,39.49914888,14.59893739,0.208854612,34.38851569,39.3274466,#REF!,#REF!,#REF!,#REF!
550,1756,60,3600,360,360,1440,1440,24,33,33,33,33,60.88856515,2.240395257,40.48303116,12.84627125,0.183780705,26.38595988,35.02173784,#REF!,#REF!,#REF!,#REF!
572,1730,50,3600,720,1080,720,1080,24,30.5,30.5,30.5,30.5,66.31739288,2.402758309,44.01433799,15.88534354,0.227258134,28.29068108,50.33147455,#REF!,#REF!,#REF!,#REF!
582,2030,70,3600,720,1080,720,1080,28,38.5,38.5,38.5,38.5,77.32247653,2.218908211,57.56463919,16.46464569,0.235545718,36.22760511,51.69709498,#REF!,#REF!,#REF!,#REF!
569,2024,65,3600,720,720,1800,360,28,37.25,37.25,37.25,37.25,65.30005635,2.222227792,45.50325113,14.26079985,0.204017165,43.69582524,41.51862638,#REF!,#REF!,#REF!,#REF!
587,2014,65,3600,900,900,900,900,28,37.25,37.25,37.25,37.25,82.5800027,2.682245026,57.82005444,19.17801473,0.274363587,35.81125041,59.57516823,#REF!,#REF!,#REF!,#REF!
317,2010,60,3600,360,360,360,2520,28,36,36,36,36,35.02728276,1.157762068,24.11901088,7.494394026,0.107215937,29.65525384,19.24095648,#REF!,#REF!,#REF!,#REF!
468,2004,60,3600,360,1440,360,1440,28,36,36,36,36,46.93998321,1.402180563,33.08824936,11.17309008,0.159843921,36.44177021,32.53653246,#REF!,#REF!,#REF!,#REF!
561,1984,50,3600,360,360,1440,1440,28,33.5,33.5,33.5,33.5,63.95021686,2.499405551,41.07049834,11.94661266,0.170910052,28.84843938,35.38299329,#REF!,#REF!,#REF!,#REF!
